EmployeeID,Age,Gender,Education Level,Job Title,Years of Experience,Salary
1001,32.0,Male,Bachelor's Degree,Software Engineer,5.0,90000.0
1002,28.0,Female,Master's Degree,Data Analyst,3.0,65000.0
1003,45.0,Male,PhD,Senior Manager,15.0,150000.0
1004,36.0,Female,Bachelor's Degree,Sales Associate,7.0,60000.0
1005,52.0,Male,Master's Degree,Director,20.0,200000.0
1006,29.0,Male,Bachelor's Degree,Marketing Analyst,2.0,55000.0
1007,42.0,Female,Master's Degree,Product Manager,12.0,120000.0
1008,31.0,Male,Bachelor's Degree,Sales Manager,4.0,80000.0
1009,26.0,Female,Bachelor's Degree,Marketing Coordinator,1.0,45000.0
1010,38.0,Male,PhD,Senior Scientist,10.0,110000.0
1011,29.0,Male,Master's Degree,Software Developer,3.0,75000.0
1012,48.0,Female,Bachelor's Degree,Hr Manager,18.0,140000.0
1013,35.0,Male,Bachelor's Degree,Financial Analyst,6.0,65000.0
1014,40.0,Female,Master's Degree,Project Manager,14.0,130000.0
1015,27.0,Male,Bachelor's Degree,Customer Service Rep,2.0,40000.0
1016,44.0,Male,Bachelor's Degree,Operations Manager,16.0,125000.0
1017,33.0,Female,Master's Degree,Marketing Manager,7.0,90000.0
1018,39.0,Male,PhD,Senior Engineer,12.0,115000.0
1019,25.0,Female,Bachelor's Degree,Data Entry Clerk,0.0,35000.0
1020,51.0,Male,Bachelor's Degree,Sales Director,22.0,180000.0
1021,34.0,Female,Master's Degree,Business Analyst,5.0,80000.0
1022,47.0,Male,Master's Degree,Vp Of Operations,19.0,190000.0
1023,30.0,Male,Bachelor's Degree,It Support,2.0,50000.0
1024,36.0,Female,Bachelor's Degree,Recruiter,9.0,60000.0
1025,41.0,Male,Master's Degree,Financial Manager,13.0,140000.0
1026,28.0,Female,Bachelor's Degree,Social Media Specialist,3.0,45000.0
1027,37.0,Female,Master's Degree,Software Manager,11.0,110000.0
1028,24.0,Male,Bachelor's Degree,Junior Developer,1.0,40000.0
1029,43.0,Female,PhD,Senior Consultant,15.0,140000.0
1030,33.0,Male,Master's Degree,Product Designer,6.0,90000.0
1031,50.0,Male,Bachelor's Degree,Ceo,25.0,250000.0
1032,31.0,Female,Bachelor's Degree,Accountant,4.0,55000.0
1033,29.0,Male,Master's Degree,Data Scientist,3.0,75000.0
1034,39.0,Female,Bachelor's Degree,Marketing Specialist,10.0,65000.0
1035,46.0,Male,PhD,Senior Manager,20.0,170000.0
1036,27.0,Male,Bachelor's Degree,Technical Writer,2.0,45000.0
1037,35.0,Female,Bachelor's Degree,Hr Generalist,7.0,60000.0
1038,42.0,Male,Master's Degree,Project Engineer,14.0,115000.0
1039,26.0,Female,Bachelor's Degree,Customer Success Rep,1.0,40000.0
